$ ./trec_eval -q qrels_covid.txt  graph.txt
iprec_at_recall_0.90    Q27     0.0000
iprec_at_recall_1.00    Q27     0.0000
P_5                     Q27     1.0000
P_10                    Q27     1.0000
P_15                    Q27     0.8667
P_20                    Q27     0.8500
P_30                    Q27     0.8333
P_100                   Q27     0.7500
P_200                   Q27     0.6650
P_500                   Q27     0.5320
P_1000                  Q27     0.3840
num_ret                 Q28     1000
num_rel                 Q28     551
num_rel_ret             Q28     402
map                     Q28     0.4510
Rprec                   Q28     0.5408
bpref                   Q28     0.7095
recip_rank              Q28     1.0000
iprec_at_recall_0.00    Q28     1.0000
iprec_at_recall_0.10    Q28     0.7882
iprec_at_recall_0.20    Q28     0.6961
iprec_at_recall_0.30    Q28     0.6535
iprec_at_recall_0.40    Q28     0.6073
iprec_at_recall_0.50    Q28     0.5665
iprec_at_recall_0.60    Q28     0.4878
iprec_at_recall_0.70    Q28     0.4228
iprec_at_recall_0.80    Q28     0.0000
iprec_at_recall_0.90    Q28     0.0000
iprec_at_recall_1.00    Q28     0.0000
P_5                     Q28     0.6000
P_10                    Q28     0.7000
P_15                    Q28     0.6667
P_20                    Q28     0.7500
P_30                    Q28     0.8000
P_100                   Q28     0.7500
P_200                   Q28     0.6800
P_500                   Q28     0.5620
P_1000                  Q28     0.4020
num_ret                 Q29     1000
num_rel                 Q29     604
num_rel_ret             Q29     212
map                     Q29     0.1261
Rprec                   Q29     0.2848
bpref                   Q29     0.2972
recip_rank              Q29     0.5000
iprec_at_recall_0.00    Q29     0.8182
iprec_at_recall_0.10    Q29     0.3711
iprec_at_recall_0.20    Q29     0.3212
iprec_at_recall_0.30    Q29     0.2510
iprec_at_recall_0.40    Q29     0.0000
iprec_at_recall_0.50    Q29     0.0000
iprec_at_recall_0.60    Q29     0.0000
iprec_at_recall_0.70    Q29     0.0000
iprec_at_recall_0.80    Q29     0.0000
iprec_at_recall_0.90    Q29     0.0000
iprec_at_recall_1.00    Q29     0.0000
P_5                     Q29     0.8000
P_10                    Q29     0.8000
P_15                    Q29     0.6667
P_20                    Q29     0.6000
P_30                    Q29     0.5667
P_100                   Q29     0.4000
P_200                   Q29     0.3600
P_500                   Q29     0.3100
P_1000                  Q29     0.2120
num_ret                 Q30     1000
num_rel                 Q30     370
num_rel_ret             Q30     258
map                     Q30     0.2245
Rprec                   Q30     0.2108
bpref                   Q30     0.6248
recip_rank              Q30     1.0000
iprec_at_recall_0.00    Q30     1.0000
iprec_at_recall_0.10    Q30     0.5139
iprec_at_recall_0.20    Q30     0.2886
iprec_at_recall_0.30    Q30     0.2886
iprec_at_recall_0.40    Q30     0.2886
iprec_at_recall_0.50    Q30     0.2886
iprec_at_recall_0.60    Q30     0.2877
iprec_at_recall_0.70    Q30     0.0000
iprec_at_recall_0.80    Q30     0.0000
iprec_at_recall_0.90    Q30     0.0000
iprec_at_recall_1.00    Q30     0.0000
P_5                     Q30     0.6000
P_10                    Q30     0.7000
P_15                    Q30     0.8000
